# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
44 -0.30839226119161034 0.7415426101273225 0.5501469978311138 -0.22879478005430198 28.643930435180664 -17.588104248046875 86.1811294555664 1 images/loop_0043.png

45 -0.305540081617544 0.7452123787602739 0.5484042049743036 -0.22484794202771885 29.60284423828125 -18.35942840576172 86.13227081298828 1 images/loop_0044.png

46 -0.30281996483718726 0.748187234819704 0.5472297615985549 -0.2214848043763703 30.37103843688965 -18.839859008789062 85.71382141113281 1 images/loop_0045.png

47 -0.22111458322782532 0.6778082863776587 0.6666275477919515 -0.21746719413892257 19.737686157226562 6.435932636260986 91.48114776611328 1 images/loop_0046.png

48 -0.21409828220201493 0.6797647822429114 0.6690836153117947 -0.21073415029769726 19.398855209350586 6.442720890045166 92.78836822509766 1 images/loop_0047.png

49 -0.2081946742697959 0.6813553805726047 0.6710894967090737 -0.20505782203373046 19.108076095581055 6.448793888092041 94.4151382446289 1 images/loop_0048.png

50 -0.20217219169307787 0.6829187111074723 0.6730850501334956 -0.1992610203028079 18.806297302246094 6.4556565284729 95.9906997680664 1 images/loop_0049.png

51 -0.19553885778573893 0.684569425833279 0.6752261775346442 -0.1928700740967777 18.468050003051758 6.464107036590576 97.4007797241211 1 images/loop_0050.png

52 -0.18896704284773458 0.6861357130384005 0.6772856969186125 -0.18652968868289543 18.126951217651367 6.473204135894775 98.78463745117188 1 images/loop_0051.png

53 -0.182144522752053 0.6876880835120208 0.6793603627449776 -0.17993879558895487 17.766674041748047 6.48347282409668 100.06694030761719 1 images/loop_0052.png

54 -0.17597287630686623 0.6890327018940023 0.6811776889915933 -0.17396677425592266 17.43541717529297 6.4932379722595215 101.50885772705078 1 images/loop_0053.png

55 -0.1693945453451562 0.6903981579513392 0.6830580232845392 -0.1675935808177733 17.076921463012695 6.504432678222656 102.79251098632812 1 images/loop_0054.png

56 -0.1626687124056507 0.6917241421815284 0.6849186817472235 -0.1610683101083571 16.704713821411133 6.516615867614746 103.98464965820312 1 images/loop_0055.png

57 -0.15620858431925777 0.6929337409450094 0.6866450876294776 -0.15479093151484946 16.341896057128906 6.528879165649414 105.23957824707031 1 images/loop_0056.png

58 -0.1518824775110362 0.6936913279118381 0.6877841068369877 -0.1505890998295294 16.096288681030273 6.538366794586182 104.35733795166016 1 images/loop_0057.png

59 -0.14797575143057223 0.6943445533850664 0.6887964347609489 -0.14679335691255369 15.872634887695312 6.54754638671875 102.9364242553711 1 images/loop_0058.png

60 -0.14356898678946697 0.6950560118897889 0.6899109095948968 -0.14250622158365644 15.618144989013672 6.558051109313965 101.59791564941406 1 images/loop_0059.png

